"","i","j","S","OS","WN","ST"
"1","network_1","network_2",0.402777777777778,0.384615384615385,0.19047619047619,-0.194139194139194
"2","network_1","network_3",0.120481927710843,0.6,0.0566037735849057,-0.543396226415094
"3","network_1","network_4",0.148148148148148,0.461538461538462,0.0555555555555556,-0.405982905982906
"4","network_1","network_5",0.0697674418604651,0.5,0.0149253731343284,-0.485074626865672
"5","network_1","network_6",0.0823529411764706,0.2,0.0087719298245614,-0.191228070175439
"6","network_1","network_7",0.0869565217391304,0.25,0.00775193798449612,-0.242248062015504
"7","network_1","network_8",0.0857142857142857,0.166666666666667,0.00657894736842105,-0.160087719298246
"8","network_1","network_9",0.0795454545454545,0.333333333333333,0.0078125,-0.325520833333333
"9","network_1","network_10",0.0679611650485437,0.666666666666667,0.0132450331125828,-0.653421633554084
"10","network_1","network_11",0.0581395348837209,0.666666666666667,0.0163934426229508,-0.650273224043716
"11","network_1","network_12",0.0879120879120879,0.428571428571429,0.0223880597014925,-0.406183368869936
"12","network_1","network_13",0.0352941176470588,0,0,0
"13","network_1","network_14",0.0444444444444444,0,0,0
"14","network_2","network_3",0.123595505617978,0.5,0.0603448275862069,-0.439655172413793
"15","network_2","network_4",0.111111111111111,0.5,0.0504201680672269,-0.449579831932773
"16","network_2","network_5",0.0879120879120879,0.333333333333333,0.0137931034482759,-0.319540229885057
"17","network_2","network_6",0.0879120879120879,0.166666666666667,0.008,-0.158666666666667
"18","network_2","network_7",0.0808080808080808,0.166666666666667,0.00714285714285714,-0.15952380952381
"19","network_2","network_8",0.0900900900900901,0.125,0.00613496932515337,-0.118865030674847
"20","network_2","network_9",0.0736842105263158,0.333333333333333,0.00719424460431655,-0.326139088729017
"21","network_2","network_10",0.0833333333333333,0.333333333333333,0.0123456790123457,-0.320987654320988
"22","network_2","network_11",0.0537634408602151,0.666666666666667,0.0150375939849624,-0.651629072681704
"23","network_2","network_12",0.104166666666667,0.333333333333333,0.0206896551724138,-0.31264367816092
"24","network_2","network_13",0.0326086956521739,0,0,0
"25","network_2","network_14",0.0412371134020619,0,0,0
"26","network_3","network_4",0.415384615384615,0.4,0.217391304347826,-0.182608695652174
"27","network_3","network_5",0.197368421052632,0.25,0.046875,-0.203125
"28","network_3","network_6",0.197368421052632,0.3,0.0560747663551402,-0.24392523364486
"29","network_3","network_7",0.164705882352941,0.263157894736842,0.040650406504065,-0.222507488232777
"30","network_3","network_8",0.177083333333333,0.28,0.0486111111111111,-0.231388888888889
"31","network_3","network_9",0.146341463414634,0.222222222222222,0.032520325203252,-0.18970189701897
"32","network_3","network_10",0.135416666666667,0.333333333333333,0.0342465753424658,-0.299086757990868
"33","network_3","network_11",0.125,0.5,0.0427350427350427,-0.457264957264957
"34","network_3","network_12",0.209876543209877,0.269230769230769,0.0546875,-0.214543269230769
"35","network_3","network_13",0.10126582278481,0.166666666666667,0.00925925925925926,-0.157407407407407
"36","network_3","network_14",0.120481927710843,0.142857142857143,0.00900900900900901,-0.133848133848134
"37","network_4","network_5",0.151898734177215,0.3125,0.0381679389312977,-0.274332061068702
"38","network_4","network_6",0.151898734177215,0.307692307692308,0.036036036036036,-0.271656271656272
"39","network_4","network_7",0.164705882352941,0.333333333333333,0.04,-0.293333333333333
"40","network_4","network_8",0.164948453608247,0.263157894736842,0.0337837837837838,-0.229374110953058
"41","network_4","network_9",0.119047619047619,0.307692307692308,0.032,-0.275692307692308
"42","network_4","network_10",0.112244897959184,0.5,0.0337837837837838,-0.466216216216216
"43","network_4","network_11",0.0975609756097561,0.375,0.0247933884297521,-0.350206611570248
"44","network_4","network_12",0.152941176470588,0.428571428571429,0.0458015267175573,-0.382769901853871
"45","network_4","network_13",0.0740740740740741,0.5,0.00909090909090909,-0.490909090909091
"46","network_4","network_14",0.107142857142857,0.166666666666667,0.00884955752212389,-0.157817109144543
"47","network_5","network_6",0.451612903225806,0.4375,0.256880733944954,-0.180619266055046
"48","network_5","network_7",0.306666666666667,0.236842105263158,0.0629370629370629,-0.173905042326095
"49","network_5","network_8",0.272727272727273,0.30952380952381,0.0802469135802469,-0.229276895943563
"50","network_5","network_9",0.223684210526316,0.333333333333333,0.0863309352517986,-0.247002398081535
"51","network_5","network_10",0.270588235294118,0.297297297297297,0.0670731707317073,-0.23022412656559
"52","network_5","network_11",0.186666666666667,0.192307692307692,0.0354609929078014,-0.156846699399891
"53","network_5","network_12",0.276315789473684,0.285714285714286,0.0816326530612245,-0.204081632653061
"54","network_5","network_13",0.194444444444444,0.636363636363636,0.0555555555555556,-0.580808080808081
"55","network_5","network_14",0.164556962025316,0.428571428571429,0.0461538461538462,-0.382417582417582
"56","network_6","network_7",0.289473684210526,0.37037037037037,0.0826446280991736,-0.287725742271197
"57","network_6","network_8",0.258426966292135,0.32258064516129,0.0694444444444444,-0.253136200716846
"58","network_6","network_9",0.24,0.392857142857143,0.092436974789916,-0.300420168067227
"59","network_6","network_10",0.241379310344828,0.5,0.0845070422535211,-0.415492957746479
"60","network_6","network_11",0.202702702702703,0.35,0.0593220338983051,-0.290677966101695
"61","network_6","network_12",0.276315789473684,0.352941176470588,0.0952380952380952,-0.257703081232493
"62","network_6","network_13",0.178082191780822,0.5,0.0467289719626168,-0.453271028037383
"63","network_6","network_14",0.15,0.625,0.0454545454545455,-0.579545454545455
"64","network_7","network_8",0.428571428571429,0.37037037037037,0.215827338129496,-0.154543032240874
"65","network_7","network_9",0.231707317073171,0.388888888888889,0.106870229007634,-0.282018659881255
"66","network_7","network_10",0.260869565217391,0.435897435897436,0.111842105263158,-0.324055330634278
"67","network_7","network_11",0.227848101265823,0.3125,0.0769230769230769,-0.235576923076923
"68","network_7","network_12",0.296296296296296,0.323529411764706,0.0774647887323944,-0.246064623032312
"69","network_7","network_13",0.160493827160494,0.5,0.0672268907563025,-0.432773109243697
"70","network_7","network_14",0.176470588235294,0.380952380952381,0.0655737704918033,-0.315378610460578
"71","network_8","network_9",0.263736263736264,0.290909090909091,0.105263157894737,-0.185645933014354
"72","network_8","network_10",0.287128712871287,0.271186440677966,0.0909090909090909,-0.180277349768875
"73","network_8","network_11",0.193548387096774,0.333333333333333,0.0723684210526316,-0.260964912280702
"74","network_8","network_12",0.265957446808511,0.26530612244898,0.0797546012269939,-0.185551521221986
"75","network_8","network_13",0.136842105263158,0.444444444444444,0.0563380281690141,-0.38810641627543
"76","network_8","network_14",0.175257731958763,0.347826086956522,0.0551724137931034,-0.292653673163418
"77","network_9","network_10",0.423076923076923,0.507462686567164,0.253731343283582,-0.253731343283582
"78","network_9","network_11",0.243243243243243,0.40625,0.103174603174603,-0.303075396825397
"79","network_9","network_12",0.234567901234568,0.368421052631579,0.101449275362319,-0.26697177726926
"80","network_9","network_13",0.219178082191781,0.434782608695652,0.0862068965517241,-0.348575712143928
"81","network_9","network_14",0.25,0.428571428571429,0.102564102564103,-0.326007326007326
"82","network_10","network_11",0.202247191011236,0.34375,0.0723684210526316,-0.271381578947368
"83","network_10","network_12",0.277777777777778,0.215686274509804,0.0666666666666667,-0.149019607843137
"84","network_10","network_13",0.209302325581395,0.3125,0.0714285714285714,-0.241071428571429
"85","network_10","network_14",0.27906976744186,0.351351351351351,0.0928571428571429,-0.258494208494209
"86","network_11","network_12",0.432835820895522,0.455882352941176,0.267241379310345,-0.188640973630832
"87","network_11","network_13",0.231884057971014,0.269230769230769,0.0614035087719298,-0.207827260458839
"88","network_11","network_14",0.22972972972973,0.37037037037037,0.087719298245614,-0.282651072124756
"89","network_12","network_13",0.273972602739726,0.387096774193548,0.0983606557377049,-0.288736118455843
"90","network_12","network_14",0.222222222222222,0.448275862068966,0.104838709677419,-0.343437152391546
"91","network_13","network_14",0.353846153846154,0.575,0.261363636363636,-0.313636363636364
