,,,,,"Average relative humidity (%) [2, 3]",,,,Average monthly temperature (ºC) [2],,,,Average monthly precipitation (mm) [2],,,,Average monthly wind speed (km/h) [3],,,,Distance from Tenerife Teno (Site 1),Maximum age of subaerial material (Ma) [4],Area (km^2) [4],Perimeter (km) [?],Soil Nutrients?
Site,Site Name,Island,Latitude,Longitude,H Jan,H Feb,H Mar,H Avg,T Jan,T Feb,T Mar,T Avg,R Jan,R Feb,R Mar,R Avg,W Jan,W Feb,W Mar,W Avg,,,,,
1,WesternSahara1,Mainland,26.1610ºN,14.4222ºW,68,71,70,69.66666667,17,18,19,18,2.2,1.3,1.9,1.8,19,20,21,20,389041.2745,,,,
2,WesternSahara2,Mainland,26.1610ºN,14.4222ºW,68,71,70,69.66666667,17,18,19,18,2.2,1.3,1.9,1.8,19,20,21,20,389106.7971,,,,
3,Fuerteventura1,Fuerteventura,28.5643ºN,13.8919ºW,68,69,68,68.33333333,17.6,17.9,18.9,18.13333333,14,16,12,14,19,21,21,20.33333333,337010.9202,20.6,1677,,
4,Fuerteventura2,Fuerteventura,28.5643ºN,13.8919ºW,68,69,68,68.33333333,17.6,17.9,18.9,18.13333333,14,16,12,14,19,21,21,20.33333333,336943.6391,20.6,1677,,
5,GranCanaria1,Gran Canaria,27.9041ºN,15.4331ºW,65,66,64,65,17.9,18.2,19,18.36666667,25,24,12,20.33333333,18,21,23,20.66666667,173827.6658,14.5,1532,,
6,GranCanaria2,Gran Canaria,27.9041ºN,15.4331ºW,65,66,64,65,17.9,18.2,19,18.36666667,25,24,12,20.33333333,18,21,23,20.66666667,173779.1593,14.5,1532,,
7,TenerifeSouth1,Tenerife-Fasnia,28.2222ºN,16.4173ºN,62,64,63,63,18.4,18.5,19.3,18.73333333,17,20,15,17.33333333,17,18,19,18,57391.05093,11.9,2058,,
8,TenerifeSouth2,Tenerife-Fasnia,28.2222ºN,16.4173ºN,62,64,63,63,18.4,18.5,19.3,18.73333333,17,20,15,17.33333333,17,18,19,18,57421.1674,11.9,2058,,
9,TenerifeTeno1,Tenerife-Teno Bajo,28.3531ºN,16.9123ºW,76,75,71,74,13.1,13.4,14.5,13.66666667,80,70,61,70.33333333,17,18,19,18,0,6.2,2058,,
10,TenerifeTeno2,Tenerife-Teno Bajo,28.3531ºN,16.9123ºW,76,75,71,74,13.1,13.4,14.5,13.66666667,80,70,61,70.33333333,17,18,19,18,176.725963,6.2,2058,,
11,Gomera1,La Gomera,28.0398ºN,17.2267ºW,59,64,64,62.33333333,18,18,19,18.33333333,27,19,4.6,16.86666667,19,19,20,19.33333333,52803.77965,10.8,380,,
12,Gomera2,La Gomera,28.0398ºN,17.2267ºW,59,64,64,62.33333333,18,18,19,18.33333333,27,19,4.6,16.86666667,19,19,20,19.33333333,52869.02752,10.8,380,,
13,Hierro1,El Hierro,27.8047'N,17.8959'W,73,74,74,73.66666667,18.8,18.6,19,18.8,28,38,25,30.33333333,20,21,22,21,129490.6054,1.12,280,,
14,Hierro2,El Hierro,27.8047'N,17.8959'W,73,74,74,73.66666667,18.8,18.6,19,18.8,28,38,25,30.33333333,20,21,22,21,129514.9474,1.12,280,,
