From,To,Distance
WesternSahara_1,WesternSahara_2,505.679714
WesternSahara_1,Hierro_2,437457.0124
WesternSahara_1,Hierro_1,437366.7753
WesternSahara_1,GranCanaria_2,244218.2947
WesternSahara_1,GranCanaria_1,244126.1002
WesternSahara_1,Gomera_2,389999.5747
WesternSahara_1,Gomera_1,390021.0886
WesternSahara_1,TenerifeSouth_2,339340.9395
WesternSahara_1,TenerifeSouth_1,339317.6653
WesternSahara_1,TenerifeTeno_2,389081.6723
WesternSahara_1,TenerifeTeno_1,389041.2745
WesternSahara_1,Fuerteventura_2,305014.2086
WesternSahara_1,Fuerteventura_1,305029.0863
WesternSahara_2,WesternSahara_1,505.679714
WesternSahara_2,Hierro_2,437375.2712
WesternSahara_2,Hierro_1,437285.0066
WesternSahara_2,GranCanaria_2,244435.1061
WesternSahara_2,GranCanaria_1,244342.8621
WesternSahara_2,Gomera_2,389996.6073
WesternSahara_2,Gomera_1,390018.2084
WesternSahara_2,TenerifeSouth_2,339445.9549
WesternSahara_2,TenerifeSouth_1,339422.5451
WesternSahara_2,TenerifeTeno_2,389146.973
WesternSahara_2,TenerifeTeno_1,389106.7971
WesternSahara_2,Fuerteventura_2,305468.5845
WesternSahara_2,Fuerteventura_1,305483.51
Fuerteventura_1,WesternSahara_2,305483.51
Fuerteventura_1,WesternSahara_1,305029.0863
Fuerteventura_1,Hierro_2,455736.6729
Fuerteventura_1,Hierro_1,455682.8693
Fuerteventura_1,GranCanaria_2,190493.473
Fuerteventura_1,GranCanaria_1,190517.2168
Fuerteventura_1,Gomera_2,376943.1528
Fuerteventura_1,Gomera_1,376908.7486
Fuerteventura_1,TenerifeSouth_2,284225.6416
Fuerteventura_1,TenerifeSouth_1,284291.92
Fuerteventura_1,TenerifeTeno_2,337167.3216
Fuerteventura_1,TenerifeTeno_1,337010.9202
Fuerteventura_1,Fuerteventura_2,67.363151
Fuerteventura_2,WesternSahara_2,305468.5845
Fuerteventura_2,WesternSahara_1,305014.2086
Fuerteventura_2,Hierro_2,455670.4165
Fuerteventura_2,Hierro_1,455616.6148
Fuerteventura_2,GranCanaria_2,190431.974
Fuerteventura_2,GranCanaria_1,190455.7312
Fuerteventura_2,Gomera_2,376876.5125
Fuerteventura_2,Gomera_1,376842.1066
Fuerteventura_2,TenerifeSouth_2,284158.7826
Fuerteventura_2,TenerifeSouth_1,284225.063
Fuerteventura_2,TenerifeTeno_2,337100.0413
Fuerteventura_2,TenerifeTeno_1,336943.6391
Fuerteventura_2,Fuerteventura_1,67.363151
GranCanaria_1,WesternSahara_2,244342.8621
GranCanaria_1,WesternSahara_1,244126.1002
GranCanaria_1,Hierro_2,274386.7194
GranCanaria_1,Hierro_1,274321.0892
GranCanaria_1,GranCanaria_2,95.95512
GranCanaria_1,Gomera_2,200296.3813
GranCanaria_1,Gomera_1,200279.0495
GranCanaria_1,TenerifeSouth_2,116473.2763
GranCanaria_1,TenerifeSouth_1,116498.0882
GranCanaria_1,TenerifeTeno_2,173938.4686
GranCanaria_1,TenerifeTeno_1,173827.6658
GranCanaria_1,Fuerteventura_2,190455.7312
GranCanaria_1,Fuerteventura_1,190517.2168
GranCanaria_2,WesternSahara_2,244435.1061
GranCanaria_2,WesternSahara_1,244218.2947
GranCanaria_2,Hierro_2,274371.9913
GranCanaria_2,Hierro_1,274306.3841
GranCanaria_2,GranCanaria_1,95.95512
GranCanaria_2,Gomera_2,200269.4864
GranCanaria_2,Gomera_1,200252.1231
GranCanaria_2,TenerifeSouth_2,116423.1775
GranCanaria_2,TenerifeSouth_1,116448.0545
GranCanaria_2,TenerifeTeno_2,173890.0276
GranCanaria_2,TenerifeTeno_1,173779.1593
GranCanaria_2,Fuerteventura_2,190431.974
GranCanaria_2,Fuerteventura_1,190493.473
TenerifeSouth_1,WesternSahara_2,339422.5451
TenerifeSouth_1,WesternSahara_1,339317.6653
TenerifeSouth_1,Hierro_2,172748.3908
TenerifeSouth_1,Hierro_1,172702.2428
TenerifeSouth_1,GranCanaria_2,116448.0545
TenerifeSouth_1,GranCanaria_1,116498.0882
TenerifeSouth_1,Gomera_2,92982.62174
TenerifeSouth_1,Gomera_1,92943.79946
TenerifeSouth_1,TenerifeSouth_2,95.901643
TenerifeSouth_1,TenerifeTeno_2,57507.0912
TenerifeSouth_1,TenerifeTeno_1,57391.05093
TenerifeSouth_1,Fuerteventura_2,284225.063
TenerifeSouth_1,Fuerteventura_1,284291.92
TenerifeSouth_2,WesternSahara_2,339445.9549
TenerifeSouth_2,WesternSahara_1,339340.9395
TenerifeSouth_2,Hierro_2,172824.6395
TenerifeSouth_2,Hierro_1,172778.5189
TenerifeSouth_2,GranCanaria_2,116423.1775
TenerifeSouth_2,GranCanaria_1,116473.2763
TenerifeSouth_2,Gomera_2,93055.34728
TenerifeSouth_2,Gomera_1,93016.48528
TenerifeSouth_2,TenerifeSouth_1,95.901643
TenerifeSouth_2,TenerifeTeno_2,57537.41864
TenerifeSouth_2,TenerifeTeno_1,57421.1674
TenerifeSouth_2,Fuerteventura_2,284158.7826
TenerifeSouth_2,Fuerteventura_1,284225.6416
TenerifeTeno_1,WesternSahara_2,389106.7971
TenerifeTeno_1,WesternSahara_1,389041.2745
TenerifeTeno_1,Hierro_2,129514.9474
TenerifeTeno_1,Hierro_1,129490.6054
TenerifeTeno_1,GranCanaria_2,173779.1593
