,Euphorbia balsamifera (f),Euphorbia balsamifera (m),Helianthemum canariensis,Kickxia heterophylla,Launaea arborescens,Lotus lancerottensis,Lycium intricatum,Phagnalon purpurascens,Salvia aegyptiaca
Anaspis cf. eversi,0,0,0,0,2,0,0,0,0
Anaspis proteus,0,2,0,0,2,0,0,0,0
Anthophora alluaudi,0,0,0,0,3,0,11,0,1
Aphthona wachnitzae,1,11,0,0,1,0,0,0,0
Asteia caesia,0,3,0,0,0,0,0,0,0
Attalus chrysanthemi,0,0,0,0,1,0,0,0,0
Attalus olivensis,0,14,0,0,3,1,1,0,0
Aulacoderus canariensis,6,18,0,0,4,0,1,0,0
Blaesoxipha sp. 1,4,0,0,0,0,0,0,0,0
Campiglossa martii,0,0,0,0,4,0,0,0,0
Camponotus cfr. feae,0,0,0,0,2,1,1,4,0
Chalicodoma sicula,0,0,0,0,3,0,0,0,0
Chetogena acuminata,0,0,0,0,0,0,0,1,1
Chloropidae sp. 1,0,0,0,0,0,1,0,0,0
Chrysomya albiceps,3,0,0,0,3,0,0,0,0
Cryptocephalus nubigena,0,3,0,0,0,0,0,0,0
Diglyphus chabrias,0,0,0,0,3,0,0,0,0
Dischistus atlanticus,1,0,1,0,1,0,2,0,0
Eurytoma sp. 1,0,0,1,0,0,0,0,0,0
Geometridae sp. 2,0,0,0,0,1,0,0,0,0
Goniozus sp.,0,0,0,1,0,0,0,0,0
Leptochilus fortunatus,0,0,0,0,1,0,4,0,0
Lucilia sericata,0,7,0,0,9,0,0,0,0
Oscinimorpha sp.,0,0,0,1,0,0,0,0,0
Phalacrus coruscus,0,1,0,0,0,0,0,0,0
Plagiolepis schmitzii,107,143,0,0,12,0,0,0,0
Platypalpus sp. 1,0,1,0,0,0,0,0,0,0
Pteromalus sp. 2,0,0,0,0,8,0,0,0,0
Sapromyza sp.,0,2,0,0,0,0,0,0,0
Sarcophagidae sp. 4,1,3,2,0,1,0,0,0,2
Sarcophagidae sp. 5,1,18,0,0,0,0,0,0,0
Sarcophagidae sp. 6,0,0,0,0,2,0,0,0,0
Sciaridae sp.,8,8,0,0,7,0,1,0,0
Tethinidae sp. 3,0,1,0,0,0,0,0,0,0
Tetramesa sp.,0,1,0,0,0,0,0,1,0
Thysanoptera sp. 1,0,74,0,0,0,0,2,0,0
Thysanoptera sp. 2,0,0,9,2,2,0,1,0,0
Urelliosoma guimari,0,0,0,0,4,0,0,0,0
Araneae sp. 1,1,0,0,0,0,0,0,0,0
Attagenus abbreviatus,0,0,0,0,1,0,0,0,0
Camponotus feae,0,0,0,0,0,0,1,0,0
Cecidomyiidae sp.,0,1,0,0,0,0,0,0,0
Cephalodromia sp.,0,0,0,0,1,0,0,0,0
Chloropidae sp. 2,0,1,0,0,0,0,0,0,0
Dasytes lanzarotensis,0,0,0,0,6,0,0,0,0
Eurytoma sp. 2,0,0,0,0,1,0,0,0,0
Lasioglossum loetum,0,0,0,0,1,0,0,0,0
Milichiidae sp.,0,1,0,0,0,0,0,0,0
Musca osiris,1,0,0,0,0,0,0,0,0
Nyctia lugubris,0,1,0,0,0,0,0,0,0
Paragus tibialis,0,0,0,0,1,0,0,0,0
Phyto nigrobarbata,0,1,0,0,0,0,0,0,0
Proconura sp. 2,0,0,0,0,1,0,0,0,0
Scaptomyza sp. 2,0,1,0,0,0,0,0,0,0
Tachyagetes aemulans,0,1,0,0,0,0,0,0,0
Thysanoptera sp. 4,0,0,0,0,0,0,1,0,0
