,Argyranthemum frutescens,Asphaltklee bituminosa,Euphorbia balsamifera (f),Euphorbia balsamifera (m),Euphorbia lamarckii,Fagonia albiflora,Kickxia scoparia,Launaea arborescens,Lycium intricatum,Periploca laevigata,Phagnalon saxatile,Rubia fruticosa,Salvia aegyptiaca,Lavendula multifida,Plocama pendula
Amegilla quadrifasciata,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Anaspis cf. canariensis,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Anthophora alluaudi,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0
Anthophora orotavae,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Apis mellifera,0,0,0,0,0,2,0,6,0,0,1,0,0,0,1
Aprostocetus occidentalis,0,0,0,0,2,0,0,1,0,11,0,2,0,0,0
Attalus rugifrons,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blaesoxipha sp. 1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Bruchidius wollastoni,7,0,1,0,0,0,0,2,0,0,1,0,0,0,0
Camponotus feae,2,0,40,26,51,0,0,1,0,62,9,3,0,2,0
Chalicodoma canescens,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Chetogena acuminata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chloropidae sp. 4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Empididae sp. 1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Estheria simonyi,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Eumerus latitarsis,0,0,7,34,0,0,0,0,0,0,0,0,0,0,0
Eupelmus sp.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Eupelmus testaceiventris,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eurytoma sp. 2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Exetastes segmentarius,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lasioglossum loetum,0,0,7,4,1,0,0,1,2,0,3,3,0,0,0
Lasioglossum viride,7,0,0,1,0,3,0,22,1,1,8,0,0,0,3
Lucilia sericata,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Musca domestica,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Myopites nigrescens,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Nyctia lugubris,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Osmia latreillei,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pieris rapae,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Plagiolepis schmitzii,0,0,19,21,0,0,0,5,0,7,4,6,0,0,0
Sarcophagidae sp. 5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sarcophagidae sp. 8,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0
Scaeva albomaculata,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Sciaridae sp. 1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Tachina canariensis,8,0,3,1,6,0,0,0,0,0,0,0,0,0,1
Thyridanthrax indigenus,4,0,1,22,0,0,0,1,0,0,4,0,2,0,0
Thysanoptera sp. 1,36,0,0,21,0,0,0,0,0,0,0,0,0,0,0
Thysanoptera sp. 2,6,0,0,0,0,0,2,7,0,0,17,0,0,0,0
Trupanea augur,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Urelliosoma guimari,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Araneidae sp. 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Araneidae sp. 2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Campiglossa reticulata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysomya albiceps,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dasytes subaenescens,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Halictus fulvipes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Megaselia sp. 1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Oxyopes kraepelinorum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Paratrechina longicornis,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
Platypalpus sp. 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Scymnus canariensis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Thomisus cf. globosum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomisus cf. onustus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
