,Euphorbia balsamifera (f),Euphorbia balsamifera (m),Euphorbia regis-jubae,Fagonia albiflora,Launaea arborescens,Lavendula minutolii,Lotus spartioides,Lycium intricatum,Plocama pendula,Rubia fruticosa,Kickxia scoparia,Schizogyne sericea
Agromyzidae sp. 1,0,0,1,0,0,0,0,0,0,0,0,0
Alliophleps elliptica,0,0,0,0,1,0,0,0,0,0,0,0
Amegilla quadrifasciata,0,0,0,0,0,0,0,4,0,0,0,0
Anaspis proteus,0,11,8,0,10,0,0,0,0,1,0,0
Andrena vulcana,0,0,7,1,0,0,0,0,0,0,0,0
Andrena wollastoni,0,1,0,0,0,0,0,0,0,0,0,0
Anthophora alluaudi,0,0,1,0,0,6,0,13,0,0,0,0
Apis mellifera,1,2,0,0,1,0,0,1,3,0,0,0
Atherigona varia,1,0,0,0,0,0,0,0,0,0,0,0
Attalus obscurus,0,2,4,3,9,0,0,0,3,2,0,2
Camponotus feae,96,79,42,1,0,0,0,2,13,44,1,0
Chloropidae sp. 2,0,3,0,0,0,0,0,0,0,0,0,0
Chrysomya albiceps,8,8,1,0,0,0,0,0,0,0,0,0
Coccinella miranda,0,0,0,0,0,0,0,0,0,1,0,0
Dinarmoides spilopterus,0,0,0,0,1,0,0,0,1,0,0,0
Hylaeus hohmanni,0,0,8,0,0,0,0,0,0,0,0,0
Lasioglossum loetum,0,2,0,7,0,0,0,1,7,0,0,0
Lasioglossum viride,1,2,3,0,4,0,0,8,3,0,0,0
Lucilia sericata,1,0,3,0,0,0,0,0,0,3,0,0
Musca domestica,5,5,3,0,0,0,0,0,0,5,0,0
Oscinella sp. 1,2,6,5,0,0,0,0,0,1,1,0,0
Osmia canaria,0,0,0,0,0,0,2,0,0,0,0,0
Osmia latreillei,0,0,0,0,2,0,0,0,0,0,0,0
Phthiria simonyi,0,0,0,0,0,0,0,0,1,0,0,0
Pieris rapae,0,0,0,0,3,0,0,1,0,0,0,0
Plagiolepis sp. 2,0,0,0,0,1,0,0,1,0,0,0,0
Sarcophagidae sp. 5,1,1,1,0,0,0,0,0,0,0,0,0
Scaeva albomaculata,0,0,2,0,0,0,0,0,0,0,0,0
Stenoselma sp.,0,1,0,0,0,0,0,0,0,0,0,0
Thomisus cf. onustus,0,0,0,0,0,0,0,0,1,0,0,0
Thysanoptera sp. 1,1,149,0,0,0,0,0,0,0,0,0,9
Thysanoptera sp. 2,0,0,0,25,1,0,0,0,0,0,2,1
Thysanoptera sp. 3,0,1,0,0,0,0,0,0,0,0,0,1
Tropinota squalida,0,0,0,0,1,0,0,0,0,0,0,0
Urelliosoma guimari,0,0,0,0,2,0,0,0,0,0,0,0
Anthophora orotavae,0,0,0,0,0,0,0,1,0,0,0,0
Attagenus wollastoni,0,1,0,0,3,0,0,0,0,0,0,0
Bombylius pintuarius,0,0,1,0,0,0,0,0,0,0,0,0
Cephalodromia sp.,0,0,0,0,0,0,0,0,0,0,0,1
Chetogena acuminata,1,0,0,0,0,0,0,0,0,0,0,0
Colletes dimidiatus,1,0,2,0,0,0,0,0,3,0,0,0
Curculionidae sp.,1,0,0,0,0,0,0,0,0,0,0,0
Eristalinus taeniops,0,0,1,0,0,0,0,0,0,0,0,0
Eucera gracilipes,0,0,3,0,0,0,0,1,0,0,0,0
Exhyalanthrax canarionae,0,0,1,0,0,0,0,0,0,0,0,0
Gasteruption sp. ,0,0,1,0,0,0,0,0,0,0,0,0
Macroglossum stellatarum,0,0,0,0,0,0,0,0,0,1,0,0
Melecta curvispina,0,0,1,0,0,0,0,0,0,0,0,0
Sepsis sp.,1,1,0,0,0,0,0,0,0,0,0,0
Themnothorax risii,0,0,0,0,2,0,0,0,0,0,2,0
