,Asphaltklee bituminosa,Ceballosia fruticosa,Euphorbia balsamifera (f),Euphorbia balsamifera (m),Euphorbia lamarckii,Periploca laevigata,Phagnalon saxatile,Rubia fruticosa,Satureja kuegleri,Schizogyne sericea,Lotus glaucus
Anthophora alluaudi,5,0,0,0,2,0,0,0,0,0,0
Attalus crispus,0,0,0,0,1,0,0,0,0,0,0
Camponotus feae,2,13,51,65,71,71,0,6,1,0,0
Cecydomyiidae sp.,0,0,0,1,0,0,0,0,0,0,0
Ceratogoponidae sp.,0,0,0,0,2,0,0,0,0,0,0
Chironomidae sp. 1,0,0,0,1,3,0,0,0,0,0,0
Chloropidae sp. 3,0,0,1,3,2,0,0,0,0,0,0
Chloropidae sp. 4,0,0,0,0,0,1,0,0,0,0,0
Chrysomya albiceps,0,0,0,0,1,0,0,0,0,0,0
Colias croceus,2,0,0,0,0,0,0,0,0,0,0
Colletes dimidiatus,0,0,0,0,13,0,0,0,0,0,0
Cryptocephalus nitidicollis,0,0,0,1,0,1,0,0,0,0,0
Dasytes subaenescens,1,0,0,1,2,0,0,0,0,0,0
Empis sp. 1,0,0,0,0,1,0,0,0,0,0,0
Estheria simonyi,3,0,1,0,12,0,0,0,0,0,0
Euderus sp.,0,0,0,0,0,0,0,0,0,2,0
Eumerus latitarsis,1,0,0,1,4,0,0,0,0,0,0
Lasioglossum loetum,0,0,2,8,11,0,0,0,0,0,0
Lasioglossum viride,0,0,1,4,11,0,0,0,0,0,1
Lucilia sericata,0,0,0,0,5,1,0,0,0,0,0
Myathropa florea,0,0,1,0,6,0,0,1,0,0,0
Myopites nigrescens,0,0,0,0,0,0,4,0,0,10,0
Neodryophilus cryptophagoides,0,0,0,0,0,1,0,0,0,0,0
Paratrechina longicornis,0,0,0,0,1,0,0,0,0,0,0
Perilampus sp. 1,0,1,0,1,0,0,0,0,0,0,0
Phalacrus coruscus,0,0,0,0,0,0,1,0,0,0,0
Phthiria simonyi,0,1,0,0,0,0,0,0,0,0,0
Pteromalus sp. 3,0,0,1,0,0,0,0,0,0,2,0
Rondania insularis,0,0,0,1,0,0,0,0,0,0,0
Sarcophagidae sp. 3,0,0,0,1,0,0,0,0,0,0,0
Sciaridae sp.,0,0,0,0,1,0,0,0,0,0,0
Spathulina sicula,0,0,0,0,0,0,2,0,0,0,0
Syritta pipiens,0,0,0,0,1,0,0,0,0,0,0
Thaumatomyia notata,0,0,0,0,2,1,0,1,0,0,0
Thysanoptera sp. 1,0,0,0,42,0,0,0,0,0,0,0
Thysanoptera sp. 2,0,0,0,0,0,0,2,0,0,0,4
Villa nigriceps,1,0,0,0,0,0,0,0,0,0,0
Ceratogoponidae sp. 2,0,0,0,0,1,0,0,0,0,0,0
Chalicodoma canescens,0,0,0,0,0,0,0,0,0,0,1
Delia flavibasis,0,0,0,0,0,1,0,0,0,0,0
Dilophus hiemalis,0,0,1,0,2,0,0,0,0,0,0
Empididae sp. 1,0,0,1,0,0,0,0,0,0,0,0
Eristalinus taeniops,0,0,0,0,1,0,0,0,0,0,0
Eucera gracilipes,3,0,0,0,4,0,0,0,0,0,0
Lasioglossum arctifrons,0,0,0,0,0,0,0,0,0,0,1
Linnaemyia soror,0,0,0,0,1,0,0,0,0,0,0
Megachile canariensis,0,0,0,0,0,0,0,0,0,0,1
Mycetophilidae sp. 1,0,0,0,0,2,0,0,0,0,0,0
Osmia canaria,0,0,0,0,0,0,0,0,0,0,1
Perilampus sp. 2,0,0,0,0,1,0,0,0,0,0,0
Scaeva albomaculata,0,0,0,0,1,0,0,0,0,0,0
Sciaridae sp. 1,0,0,0,0,0,0,0,0,0,0,1
Tachina canariensis,0,0,0,0,2,0,0,0,0,0,0
Thomisus cf. onustus,0,0,0,1,0,0,0,0,0,0,0
