,Argyranthemum sp.,Asparagus pastorianus,Euphorbia balsamifera (f),Euphorbia balsamifera (m),Fagonia albiflora,Kickxia heterophylla,Launaea arborescens,Lycium intricatum,Nauplius sp.,Zilla spinosa,Helianthemum canariensis,Lotus sp.
Amegilla sp.,0,0,0,0,3,1,0,5,0,1,0,0
Anaspis cf. saharensis,0,0,0,2,0,0,0,0,0,0,0,0
Anthaxia sp. 1,0,0,0,0,0,0,10,0,0,0,0,0
Anthophora sp. 1,0,0,0,0,0,0,0,1,0,0,0,0
Aplocnemus sp. 2,0,1,0,0,0,0,0,0,0,0,0,0
Aprostocetus sp. 1,0,0,0,0,0,0,2,0,0,0,0,0
Attagenus sp. 1,0,2,0,0,0,1,1,0,0,0,0,0
Axinotarsus sp. 1,0,1,2,0,0,0,0,0,0,0,0,0
Bombylius sp. 1,0,0,0,1,0,0,0,0,1,1,0,0
Chetogena acuminata,0,0,0,1,0,0,0,0,0,0,0,0
Coleoptera sp. 5,0,1,1,2,0,0,7,0,0,0,0,0
Colletes1? Waiting…,0,0,0,0,0,1,0,10,0,0,0,0
Colletes2? Waiting…,0,0,1,0,0,0,0,0,0,0,0,0
Eurytoma sp. 3,0,0,0,2,0,0,0,0,0,0,0,0
Hylaeus sp.,0,0,0,2,0,0,5,0,0,0,0,0
Lasioglossum phoenicurum,0,0,0,1,0,1,6,1,0,0,0,0
Lucilia sericata,0,12,4,23,0,0,0,0,0,0,0,1
Macrocoma cf. henoni,0,0,0,0,0,0,0,0,1,0,0,0
Musca domestica,0,0,0,4,0,0,0,0,0,0,0,0
Musca osiris,0,0,0,2,0,0,0,0,0,0,0,0
Musca sorbens,0,0,1,8,0,0,0,0,0,0,0,0
Nomioides deceptor,0,44,0,0,0,0,1,3,4,0,0,0
Nomioides sp.,0,0,0,0,0,0,0,9,0,0,0,0
Paragus tibialis,0,0,0,0,0,0,3,0,0,0,0,0
Physiphora alceae,0,0,0,1,0,0,0,0,0,0,0,0
Plagiolepis schmitzii,0,0,16,2,0,1,0,0,1,1,0,0
Podalonia sp.,0,1,0,2,0,0,0,0,0,0,0,0
Proconura sp. 1,0,3,0,0,0,0,0,0,0,0,0,0
Sarcophaga sp. 1,0,1,0,1,0,0,0,0,0,0,0,0
Sarcophagidae sp.,0,1,0,0,0,0,0,0,0,0,0,0
Sarcophagidae sp. 2,0,0,0,6,0,0,0,0,0,0,0,0
Sarcophagidae sp. 7,0,0,0,7,0,0,0,0,0,0,0,0
Sciaridae sp.,0,2,0,64,0,0,1,0,4,0,0,0
Sciaridae sp. 4,0,0,43,0,0,0,0,1,0,0,0,0
Sphecidae sp.,0,0,0,0,0,0,3,0,0,0,0,0
Tachinidae sp. 1,0,0,0,1,0,0,0,0,0,0,0,0
Tapinoma nigerrimum,1,0,45,16,0,1,0,3,0,1,1,0
Tephritidae sp. 1,0,0,0,0,0,0,6,0,0,0,0,0
Tethinidae sp. 2,0,1,0,0,0,0,0,0,0,0,0,6
Themnothorax productus,0,0,0,4,0,0,0,0,0,0,0,0
Thysanoptera sp.,0,0,0,37,0,0,0,0,0,0,0,0
Troglops sp.,0,0,0,0,1,0,0,0,0,0,0,0
Urelliosoma guimari,0,0,0,3,0,0,5,0,0,0,0,0
Urellliosoma sp.,0,0,0,0,0,0,3,0,0,0,0,0
Andrena vachali,0,0,1,0,0,0,0,1,1,0,0,0
Anthophora sp. aff. orotavae,0,0,0,0,0,0,0,1,0,0,0,0
Arachnospila sp.,0,0,0,1,0,0,0,0,0,0,0,0
Chalicodoma sicula,0,0,0,0,0,0,0,0,0,0,0,1
Chalicodoma sp.,0,0,0,0,0,0,0,0,0,1,0,1
Chloropidae sp.,0,4,0,0,0,0,0,0,0,0,0,0
Crematogaster scutellaris,0,0,0,1,0,0,0,0,0,0,0,0
Hym. Waiting….,0,0,0,0,0,0,0,0,0,1,0,0
Lucilia sp. 1,0,0,0,15,0,0,0,0,0,0,0,0
Melecta sp.,0,0,0,0,0,0,0,0,0,1,0,0
Ormyrus sp. 1,0,0,0,0,0,0,1,0,0,0,0,0
Pteromalus sp. 2,0,0,0,0,0,0,1,0,0,0,0,0
Tethinidae sp. 1,0,0,0,0,0,0,0,0,0,0,0,5
Thyreus sp. aff. ramosus,0,0,0,0,0,0,3,0,0,1,0,0
Vanessa Cardui,0,0,0,1,0,0,0,0,0,0,0,0
Vestitohalictus sp.,0,0,0,0,0,0,4,0,0,0,0,0
