,Euphorbia balsamifera (f),Euphorbia balsamifera (m),Helianthemum canariensis,Launaea arborescens,Lycium intricatum,Phagnalon purpurascens,Salvia aegyptiaca,Argyranthemum frutescens,Ceropegia fusca,Euphorbia lamarckii,Frankenia laevis,Lavendula multifida,Lotus sessilifolius,Periploca laevigata,Plocama pendula,Satureja kuegleri,Schizogyne sericea,Kickxia heterophylla,Lotus lancerottensis,Euphorbia regis-jubae,Fagonia albiflora,Lavendula minutolii,Lotus spartioides,Rubia fruticosa,Ceballosia fruticosa,Nauplius aquaticus,Neochamaelea pulverulenta,Asphaltklee bituminosa,Ceropegia dichotoma,Kickxia scoparia,Lavendula buchii,Parolinia intermedia,Phagnalon saxatile,Lotus glaucus
Anaspis proteus,0,69,0,13,1,0,0,1,0,3,0,0,0,4,0,0,3,0,0,8,22,0,0,2,4,0,0,0,0,0,0,19,0,0
Anthophora alluaudi,0,0,0,4,36,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,3,6,0,0,0,0,0,7,0,1,2,7,0,0
Aphthona wachnitzae,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araneae sp. 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attagenus abbreviatus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attalus olivensis,0,14,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aulacoderus canariensis,6,18,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campiglossa martii,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camponotus cfr. feae,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camponotus feae,300,289,1,3,9,0,0,17,2,179,22,3,2,289,17,1,12,0,0,42,4,0,0,71,32,19,10,2,1,1,7,3,9,0
Cecidomyiidae sp.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephalodromia sp.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chetogena acuminata,1,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloropidae sp. 2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysomya albiceps,13,8,0,3,0,0,0,2,0,1,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dasytes lanzarotensis,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dischistus atlanticus,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurytoma sp. 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lasioglossum loetum,9,14,0,2,3,0,0,1,0,12,0,0,0,0,7,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,3,0
Lucilia sericata,1,7,0,9,0,0,0,5,0,7,0,0,0,18,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0
Milichiidae sp.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Musca osiris,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyctia lugubris,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Paragus tibialis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phyto nigrobarbata,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plagiolepis schmitzii,126,164,0,17,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0
Proconura sp. 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pteromalus sp. 2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarcophagidae sp. 4,1,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarcophagidae sp. 5,3,19,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarcophagidae sp. 6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
